"ProductKey","ProductAlternateKey","ProductSubcategoryKey","WeightUnitMeasureCode","SizeUnitMeasureCode","EnglishProductName","SpanishProductName","FrenchProductName","StandardCost","FinishedGoodsFlag","Color","SafetyStockLevel","ReorderPoint","ListPrice","Size","SizeRange","Weight","DaysToManufacture","ProductLine","DealerPrice","Class","Style","ModelName","LargePhoto","EnglishDescription","FrenchDescription","ChineseDescription","ArabicDescription","HebrewDescription","ThaiDescription","GermanDescription","JapaneseDescription","TurkishDescription","StartDate","EndDate","Status"
"1","AR-5381","","","","Adjustable Race","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"2","BA-8327","","","","Bearing Ball","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"3","BE-2349","","","","BB Ball Bearing","","","","False","NA","800","600","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"4","BE-2908","","","","Headset Ball Bearings","","","","False","NA","800","600","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"5","BL-2036","","","","Blade","","","","False","NA","800","600","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"6","CA-5965","","","","LL Crankarm","","","","False","Black","500","375","","","NA","","0","","","L ","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"7","CA-6738","","","","ML Crankarm","","","","False","Black","500","375","","","NA","","0","","","M ","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"8","CA-7457","","","","HL Crankarm","","","","False","Black","500","375","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"9","CB-2903","","","","Chainring Bolts","","","","False","Silver","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"10","CN-6137","","","","Chainring Nut","","","","False","Silver","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"11","CR-7833","","","","Chainring","","","","False","Black","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"12","CR-9981","","","","Crown Race","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"13","CS-2812","","","","Chain Stays","","","","False","NA","1000","750","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"14","DC-8732","","","","Decal 1","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"15","DC-9824","","","","Decal 2","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"16","DT-2377","","","","Down Tube","","","","False","NA","800","600","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"17","EC-M092","","","","Mountain End Caps","","","","False","NA","1000","750","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"18","EC-R098","","","","Road End Caps","","","","False","NA","1000","750","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"19","EC-T209","","","","Touring End Caps","","","","False","NA","1000","750","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"20","FE-3760","","","","Fork End","","","","False","NA","800","600","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"21","FH-2981","","","","Freewheel","","","","False","Silver","500","375","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"22","FW-1000","","","","Flat Washer 1","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"23","FW-1200","","","","Flat Washer 6","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"24","FW-1400","","","","Flat Washer 2","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"25","FW-3400","","","","Flat Washer 9","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"26","FW-3800","","","","Flat Washer 4","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"27","FW-5160","","","","Flat Washer 3","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"28","FW-5800","","","","Flat Washer 8","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"29","FW-7160","","","","Flat Washer 5","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"30","FW-9160","","","","Flat Washer 7","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"31","FC-3654","","","","Fork Crown","","","","False","NA","800","600","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"32","FC-3982","","","","Front Derailleur Cage","","","","False","Silver","800","600","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"33","FL-2301","","","","Front Derailleur Linkage","","","","False","Silver","800","600","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"34","GP-0982","","","","Guide Pulley","","","","False","NA","800","600","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"35","GT-0820","","","","LL Grip Tape","","","","False","NA","800","600","","","NA","","0","","","L ","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"36","GT-1209","","","","ML Grip Tape","","","","False","NA","800","600","","","NA","","0","","","M ","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"37","GT-2908","","","","HL Grip Tape","","","","False","NA","800","600","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"38","HJ-1213","","","","Thin-Jam Hex Nut 9","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"39","HJ-1220","","","","Thin-Jam Hex Nut 10","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"40","HJ-1420","","","","Thin-Jam Hex Nut 1","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"41","HJ-1428","","","","Thin-Jam Hex Nut 2","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"42","HJ-3410","","","","Thin-Jam Hex Nut 15","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"43","HJ-3416","","","","Thin-Jam Hex Nut 16","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
