"FinanceKey","DateKey","OrganizationKey","DepartmentGroupKey","ScenarioKey","AccountKey","Amount","Date"
"1","20101229","3","1","1","60","22080","12/29/2010 12:00:00 AM"
"2","20101229","3","1","2","60","20200","12/29/2010 12:00:00 AM"
"3","20101229","3","1","2","61","2000","12/29/2010 12:00:00 AM"
"4","20101229","3","1","1","61","2208","12/29/2010 12:00:00 AM"
"5","20101229","3","1","1","62","1546","12/29/2010 12:00:00 AM"
"6","20101229","3","1","2","62","1800","12/29/2010 12:00:00 AM"
"7","20101229","3","1","2","65","380","12/29/2010 12:00:00 AM"
"8","20101229","3","1","1","65","378","12/29/2010 12:00:00 AM"
"9","20101229","3","1","1","66","344","12/29/2010 12:00:00 AM"
"10","20101229","3","1","2","66","380","12/29/2010 12:00:00 AM"
"11","20101229","3","1","2","67","200","12/29/2010 12:00:00 AM"
"12","20101229","3","1","1","67","174","12/29/2010 12:00:00 AM"
"13","20101229","3","1","1","68","132","12/29/2010 12:00:00 AM"
"14","20101229","3","1","2","68","100","12/29/2010 12:00:00 AM"
"15","20101229","3","1","1","69","38","12/29/2010 12:00:00 AM"
"16","20101229","3","1","1","71","54","12/29/2010 12:00:00 AM"
"17","20101229","3","1","2","71","70","12/29/2010 12:00:00 AM"
"18","20101229","3","1","2","73","300","12/29/2010 12:00:00 AM"
"19","20101229","3","1","1","73","250","12/29/2010 12:00:00 AM"
"20","20101229","3","1","1","74","114","12/29/2010 12:00:00 AM"
"21","20101229","3","1","2","74","100","12/29/2010 12:00:00 AM"
"22","20101229","3","1","2","76","280","12/29/2010 12:00:00 AM"
"23","20101229","3","1","1","76","297","12/29/2010 12:00:00 AM"
"24","20101229","3","1","1","77","535","12/29/2010 12:00:00 AM"
"25","20101229","3","1","2","77","480","12/29/2010 12:00:00 AM"
"26","20101229","3","1","2","78","200","12/29/2010 12:00:00 AM"
"27","20101229","3","1","1","78","153","12/29/2010 12:00:00 AM"
"28","20101229","3","1","1","80","586","12/29/2010 12:00:00 AM"
"29","20101229","3","1","2","80","550","12/29/2010 12:00:00 AM"
"30","20101229","3","1","2","81","380","12/29/2010 12:00:00 AM"
"31","20101229","3","1","1","81","363","12/29/2010 12:00:00 AM"
"32","20101229","3","1","1","82","35","12/29/2010 12:00:00 AM"
"33","20101229","3","1","2","82","40","12/29/2010 12:00:00 AM"
"34","20101229","3","1","2","83","100","12/29/2010 12:00:00 AM"
"35","20101229","3","1","1","83","123","12/29/2010 12:00:00 AM"
"36","20101229","3","1","1","84","103","12/29/2010 12:00:00 AM"
"37","20101229","3","1","2","84","100","12/29/2010 12:00:00 AM"
"38","20101229","3","1","2","85","100","12/29/2010 12:00:00 AM"
"39","20101229","3","1","1","85","98","12/29/2010 12:00:00 AM"
"40","20101229","3","1","1","87","540","12/29/2010 12:00:00 AM"
"41","20101229","3","1","2","87","480","12/29/2010 12:00:00 AM"
