"SurveyResponseKey","DateKey","CustomerKey","ProductCategoryKey","EnglishProductCategoryName","ProductSubcategoryKey","EnglishProductSubcategoryName","Date"
"1","20120309","11001","3","Clothing","24","Tights","3/9/2012 12:00:00 AM"
"2","20120309","11001","4","Accessories","30","Fenders","3/9/2012 12:00:00 AM"
"3","20120309","11001","4","Accessories","32","Hydration Packs","3/9/2012 12:00:00 AM"
"4","20120424","11017","3","Clothing","22","Shorts","4/24/2012 12:00:00 AM"
"5","20120424","11017","4","Accessories","28","Bottles and Cages","4/24/2012 12:00:00 AM"
"6","20120406","11019","4","Accessories","34","Locks","4/6/2012 12:00:00 AM"
"7","20120414","11026","4","Accessories","28","Bottles and Cages","4/14/2012 12:00:00 AM"
"8","20120310","11033","3","Clothing","21","Jerseys","3/10/2012 12:00:00 AM"
"9","20120310","11033","3","Clothing","23","Socks","3/10/2012 12:00:00 AM"
"10","20120310","11033","3","Clothing","24","Tights","3/10/2012 12:00:00 AM"
"11","20120303","11037","4","Accessories","31","Helmets","3/3/2012 12:00:00 AM"
"12","20120303","11037","4","Accessories","32","Hydration Packs","3/3/2012 12:00:00 AM"
"13","20120311","11047","3","Clothing","22","Shorts","3/11/2012 12:00:00 AM"
"14","20120311","11047","3","Clothing","23","Socks","3/11/2012 12:00:00 AM"
"15","20120311","11047","4","Accessories","30","Fenders","3/11/2012 12:00:00 AM"
"16","20120426","11048","4","Accessories","32","Hydration Packs","4/26/2012 12:00:00 AM"
"17","20120426","11048","4","Accessories","36","Pumps","4/26/2012 12:00:00 AM"
"18","20120312","11054","3","Clothing","18","Bib-Shorts","3/12/2012 12:00:00 AM"
"19","20120408","11057","4","Accessories","36","Pumps","4/8/2012 12:00:00 AM"
"20","20120417","11070","4","Accessories","29","Cleaners","4/17/2012 12:00:00 AM"
"21","20120417","11070","4","Accessories","31","Helmets","4/17/2012 12:00:00 AM"
"22","20120405","11078","4","Accessories","31","Helmets","4/5/2012 12:00:00 AM"
"23","20120314","11079","3","Clothing","21","Jerseys","3/14/2012 12:00:00 AM"
"24","20120314","11079","4","Accessories","27","Bike Stands","3/14/2012 12:00:00 AM"
"25","20120314","11079","4","Accessories","37","Tires and Tubes","3/14/2012 12:00:00 AM"
"26","20120326","11109","3","Clothing","25","Vests","3/26/2012 12:00:00 AM"
"27","20120309","11110","3","Clothing","21","Jerseys","3/9/2012 12:00:00 AM"
"28","20120324","11111","3","Clothing","20","Gloves","3/24/2012 12:00:00 AM"
"29","20120324","11111","4","Accessories","30","Fenders","3/24/2012 12:00:00 AM"
"30","20120324","11111","4","Accessories","32","Hydration Packs","3/24/2012 12:00:00 AM"
"31","20120427","11123","4","Accessories","31","Helmets","4/27/2012 12:00:00 AM"
"32","20120427","11123","4","Accessories","33","Lights","4/27/2012 12:00:00 AM"
"33","20120427","11123","4","Accessories","37","Tires and Tubes","4/27/2012 12:00:00 AM"
"34","20120325","11125","4","Accessories","36","Pumps","3/25/2012 12:00:00 AM"
