"ProductKey","CultureName","ProductDescription"
"210","Afrikaans","Ons ligste en beste-gehalte aluminiumraam gemaak van die jongste allooi; dit word gesweis en getemper vir krag. Ons nuwe ontwerp bied maksimum gemak en werkverrigting."
"210","Albanian","""Trupi yn? prej alumini m? t? leht? dhe me cil?sin? m? t? mir?, i prodhuar nga aliazhi m? i ri; ?sht? salduar dhe kalitur q? t? ket? rezistenc?. Modeli yn? novator ka si rezultat nj? rehati dhe rendiment maksimal."""
"210","Basque","""Gure kalitate oneneko aluminiozko koadro arinena, aleazio berrienarekin egindakoa. Soldatuta eta beroarekin tratatuta dago sendoagoa izan dadin. Gure diseinu berriztatzaileari esker erosotasun eta funtzionamendu bikainak eskaintzen ditu."""
"210","Bosnian (Cyrillic)","??? ???????? ? ???????????????? ??? ??????? ?? ????????? ??????; ??????? ? ????? ?? ????? ???? ?????. ??? ?????????? ?????? ?? ?????? ? ????????? ????????? ? ???????????."
"210","Bosnian (Latin)","Na? najlak?i i visokokvalitetni ram izra?en od najnovije legure; zavaren i kaljen da pru?i ve?u snagu. Na? inovativan dizajn se ogleda u maksimumu udobnosti i performansi."
"210","Brazilian","Nosso quadro de alum?nio mais leve e de melhor qualidade feito com a mais nova liga met?lica; ? soldado e termotratado para ser resistente. Nosso design inovador resulta em conforto e desempenho m?ximos."
"210","Bulgarian","""?????????????????? ? ????????? ?????????? ????? ? ????????? ?? ???-?????? ?????, ????? ????? ? ??????? ???? ?????????? ? ???????? ?????????. ????????? ?????? ????????? ?????????? ??????? ? ?????? ?? ??????????."""
"210","Catalan","""El nostre quadre d'alumini m?s lleuger i de la millor qualitat, fabricat amb l'aliatge m?s actual; est? soldat i termotractat per millorar-ne la resist?ncia. El disseny innovador augmenta al m?xim el rendiment i la comoditat."""
"210","Chinese - Hongkong","????????????????????????????????????????????????????????????????????????????????"
"210","Chinese - Trad","????????????????????????????????????????????????????????????????????????"
"210","Croatian","""Na? najlak?i i najkvalitetniji aluminijski okvir izra?en od najnovije legure, zavaren i toplotno obra?en za ?vrsto?u. Inovativni dizajn omogu?uje maksimalnu udobnost i u?inkovitost."""
"210","Czech","N?? nejleh?? hlin?kov? r?m nejvy??? kvality vyroben? z nejnov?j?? slitiny; sva?ovan? a tepeln? zpracovan? pro opravdovou pevnost. Pokrokov? design poskytuje maxim?ln? pohodl? a spl?uje ?pi?kov? po?adavky."
"210","Danish","""Vores letteste og bedste aluminiumstel, der er lavet af den nyeste legering. Stellet er svejset og varmebehandlet for at give det ekstra styrke. Vores innovative design giver maksimal komfort og ydeevne."""
"210","Dutch","""Ons lichtste aluminium frame van de beste kwaliteit, van de nieuwste legering. Gelast en getemperd. Ons innovatieve design resulteert in maximaal comfort en maximale prestaties."""
"210","Estonian","""Meie kergeim ja kvaliteetseim alumiiniumraam, mis valmistatud uusimast sulamist ning on tugevuse tagamiseks keevitatud ja termiliselt t??deldud. Meie uuendusliku kujunduse tulemuseks on maksimaalne mugavus ja toimivus."""
"210","Farsi","""???? ???? ? ?? ????? ???? ???? ?????????? ???? ?? ?? ?? ???????? ????? ????? ??? ???? ??? ???? ???? ??????? ?????? ??????? ? ????? ???? ??? ???. ????? ???????? ?? ?????? ????? ? ?????? ?????? ?? ?? ?????? ?? ????."""
"210","Finnish","""Kevein ja laadukkain alumiinirunkomme uusimmasta seoksesta, vahvistettu hitsaamalla ja l?mp?k?sittelyll?. Innovatiivisen suunnittelumme tuloksena on maksimaalinen mukavuus ja suorituskyky."""
"210","Galician","""O noso cadro de aluminio, m?is lixeiro e de mellor calidade, feito coa aliaxe m?is moderna, est? soldado e tratado con calor para ga?ar fortaleza. O noso dese?o innovador ten como resultado a m?xima comodidade e prestaci?ns."""
"210","Greek","?? ??? ?????? ??????? ??? ?? ??????? ????????. ?????????????? ??? ?? ??? ???????? ????? ??????????. ? ?????????? ??? ? ??????? ??????????? ??? ????????? ??????? ??????. ? ?????????? ???????? ???????? ?? ?????????? ????? ??? ??? ????????? ?????????."
"210","Gujrati","?????? ??? ????? ????????? ????????? ????? ????? ??????? ???? ??? ????? ???????????? ??????????? ?????; ?????? ???? ????? ???? ??? ????????? ???????????? ??????? ?????? ??. ????? ???????? ?????? ?????? ???? ??? ????????????? ?????? ??? ??. "
